id,name,address,city,state,zip_code,map_link,date_added,date_updated,notes
1,Lansing Eastern High School,626 Marshall St.,Lansing,MI,48912,https://maps.app.goo.gl/Sx8SDaEVgcYQAgxy5,2025-06-27 02:56:55.375161+00,2025-06-27 02:56:55.375193+00,""
2,East Lansing High School,509 Burcham Dr.,East Lansing,MI,48823,"https://www.google.com/maps/place/East+Lansing+High+School/@42.7430739,-84.481235,17z/data=!3m1!4b1!4m6!3m5!1s0x8822e83281fbe3e1:0xb044f02dc8e93c0f!8m2!3d42.7430739!4d-84.4786654!16zL20vMDg3bWpw?entry",2025-06-27 20:24:15.185672+00,2025-06-27 20:24:49.456333+00,""
3,Okemos High School,2800 Jolly Road,Okemos,MI,48864,https://maps.app.goo.gl/QCzuj8PRgdW5YzEp9,2025-06-28 20:24:11.752934+00,2025-06-28 20:24:11.752946+00,""
4,Adado Riverfront Park,201 East Shiawassee Street,Lansing,MI,48933,https://maps.app.goo.gl/4Kx5ZKcJi1m2ojVk8,2025-07-04 16:26:16.094681+00,2025-07-04 16:26:16.094704+00,""
5,St Johns Band Shell,West Park Street,St Johns,MI,48879,https://maps.app.goo.gl/6r4UKKXJDeGfddQU6,2025-07-04 16:28:36.964911+00,2025-07-04 16:28:36.964927+00,""
6,Charlotte Performing Arts Center,378 State Street,Charlotte,MI,48813,https://maps.app.goo.gl/XFy3pTGsTLom1bky8,2025-07-04 18:32:00.075326+00,2025-07-04 18:32:00.075339+00,""
